,user_id,created_at,user_name,tweet,weekday,month,day,at_risk
0,2206022366,05:52:14,Noidontdrinktea,worst job yet potentially great haha hope get site visit still ipod dead miss,Wed,Jun,17,1
1,2181424104,11:48:36,Alica87,thank much dear sorrfor make scare moment,Mon,Jun,15,1
2,2302532844,16:56:38,lovecarousel,videos break heart,Tue,Jun,23,1
3,1990571156,05:12:59,CRLondon,upset abt miss plane scary,Mon,Jun,01,1
4,1468259482,00:35:50,samanthaisbenny,haha house creepy night creak stuff scary lol gon bed,Tue,Apr,07,1
5,2193524842,08:34:32,DrewDesRochers,bargain users craigslist hope get murder,Tue,Jun,16,1
6,2201215725,19:58:01,Ines,awwww let know help anything,Tue,Jun,16,1
7,2243044488,12:57:22,bullysteria,,Fri,Jun,19,1
8,2174879276,23:31:57,Preciousencvxn,mine,Sun,Jun,14,1
9,2061862064,21:47:01,jackiebr0wne,finally bed without poot feel better love,Sat,Jun,06,1
10,2195774710,11:35:10,ticktockTANGELO,even even close,Tue,Jun,16,1
11,2326508216,07:08:08,xsarahann,suck,Thu,Jun,25,1
12,1687368943,08:30:46,ro_ultraviolet,one week ago weather freak hot freeze,Sun,May,03,1
13,2233398111,21:17:43,disthename,watch news break heart turmoil countries,Thu,Jun,18,1
14,2191458924,05:19:13,nikhilsheth,thats sad,Tue,Jun,16,1
15,1695881219,07:09:06,MPattz,stick room leave get flue swine shut,Mon,May,04,1
16,2255653237,11:35:10,broseanddelight,wish work,Sat,Jun,20,1
17,1556956393,01:12:52,cathe2ine,leave rome today,Sun,Apr,19,1
18,1834199809,02:00:51,melissamischief,yet,Mon,May,18,1
19,2204516376,02:25:21,catherinestack,aww phone buzz stomach fly mouth message,Wed,Jun,17,1
20,2049869916,17:38:51,gennaaaaay,kinda sad wont dinner tonight account sickness,Fri,Jun,05,1
21,2305920829,21:30:37,JerseyJul,sleepy really cute see friends great work punchline jermyn,Tue,Jun,23,1
22,1992894774,09:29:52,itwashardlylove,course get one damn day week high gon like,Mon,Jun,01,1
23,2262138706,21:57:26,runner842,,Sat,Jun,20,1
24,2202664437,22:11:29,RockerPixie13,alone,Tue,Jun,16,1
25,1992478917,08:49:13,jemarsz03,watch jon kate plus episode last week wow depress,Mon,Jun,01,1
26,2253787425,08:44:33,cherellenicole,rain maybe seattle,Sat,Jun,20,1
27,1981804770,09:55:42,TweetPeete,feel bad bout throwin stash away bueno,Sun,May,31,1
28,1833249943,22:42:58,WildcatAlex,today pretty nice chill day bad sleep till mama take tomorrow work hang almost day,Sun,May,17,1
29,2179145698,08:42:28,mikatweets,revise philosophy vise philo pour bac,Mon,Jun,15,1
30,1974294568,12:50:08,dawgs52,well back grind zero,Sat,May,30,1
31,1557242686,02:52:39,TheChrisD,really feel like shop today give cold pizza eat need find atm,Sun,Apr,19,1
32,1882802867,07:30:42,beautifulshay,feel best today feel liitle sick upset plan hang day enjoy day,Fri,May,22,1
33,1564137860,01:58:15,nadiapariss,back kill,Mon,Apr,20,1
34,1559670846,11:45:02,Tj_pinkgurl,wake nightmare,Sun,Apr,19,1
35,1881184812,03:52:56,Britt_W,unable listen today ross road head back home good friday greet anyway,Fri,May,22,1
36,2000482886,22:12:58,tenbears,take nap see anything else,Mon,Jun,01,1
37,2058818519,15:41:18,ferggirl,bad day,Sat,Jun,06,1
38,1832773686,21:28:10,wag1960,great come town hop earth shake sex fuck earthquakes drop,Sun,May,17,1
39,1970889829,05:33:43,earldbest,tooth saga continue,Sat,May,30,1
40,2031329768,09:39:52,ghensel,definitely run today blamedrewscancer,Thu,Jun,04,1
41,2236884612,04:44:52,Woo_x,guess pic showin tho phone,Fri,Jun,19,1
42,1696088291,07:35:09,alyssacasa,click link lol omgsh bore,Mon,May,04,1
43,1932757551,22:09:04,hoffifee,summer,Tue,May,26,1
44,1980944764,08:03:18,Steffisticated,hahahaha super def eat nonstop bec think lose weight miss come taft starbucks paula amp jay,Sun,May,31,1
45,2215026797,17:34:11,macksimumrage,enjoy psp unfortunately stick pixel god war insane,Wed,Jun,17,1
46,2175192087,00:19:27,melaniestarship,omg cuttt poor nick jimmy smyd,Mon,Jun,15,1
47,1999902805,21:01:58,jadibee,iight miss,Mon,Jun,01,1
48,2182904970,13:47:23,hbeeinc,telemarketing call skype number sux,Mon,Jun,15,1
49,1557272011,03:03:47,Meryl_F,portable player decide give ghost days holiday frantic search amazon last night replacement,Sun,Apr,19,1
50,2067587177,12:36:31,C_Rod152,fuck man work tonight,Sun,Jun,07,1
51,2056582674,11:24:38,jonrains,want palm pre dad say week cause crowd,Sat,Jun,06,1
52,1824130973,00:09:29,wolfchild59,artistically block nearly painful right zero ideas head nothing come matter,Sun,May,17,1
53,1988892386,23:41:14,katteryn,want ticket sell read festival,Sun,May,31,1
54,1963177066,12:19:21,gatorgurl86,get hair miss,Fri,May,29,1
55,2266555401,08:42:35,daveweinberg,anybody extra wilco ticket maine state pier july totally miss window,Sun,Jun,21,1
56,1834507091,03:11:53,gpbonifazi,plugins web developer delicious example work anymore upgrade firefox mac suggestions,Mon,May,18,1
57,2215567112,18:18:58,mechphisto,hope get skinny yeah yowza good episode hope deal problems tho,Wed,Jun,17,1
58,2012885433,21:28:48,sydneiLOVE,tire fuuuuuuuck try get ready trip,Tue,Jun,02,1
59,2176656198,04:26:09,agiftedmind,hug hope get better sick fun,Mon,Jun,15,1
60,1962302993,10:50:16,sonataozona,clean find stuff sell poor,Fri,May,29,1
61,1977070309,20:01:34,HeSoAmazin,jus bein honest sweetie ima fan lebron dwight team get bump last nite,Sat,May,30,1
62,2054856358,08:13:12,Bekah_pickle,another grey hair happy,Sat,Jun,06,1
63,2197995988,15:28:20,Chad_Lad,actually think mood swing lmao tennis elbow thumb tweet much,Tue,Jun,16,1
64,1973255405,10:47:41,ajaypramod,finish still chapters study,Sat,May,30,1
65,2246485798,17:40:07,UneBelleFemme,noooo visit play ear bring home see mom might put vbs something,Fri,Jun,19,1
66,2229067610,15:14:26,hellokatie11,want basketball totally feel good super bore,Thu,Jun,18,1
67,1977405294,20:54:59,vic2slic,dog would chase cat house wrong cat scatter chico ash week,Sat,May,30,1
68,2190628062,03:16:28,jordanguerrette,wake tire,Tue,Jun,16,1
69,1752645904,22:31:41,LoveJunkie,man add bad lol even concentrate movie,Sat,May,09,1
70,1688810857,11:58:39,nina_badass09,tam hurt,Sun,May,03,1
71,2003811187,07:11:15,SteveTea,await mon verdict great anticipation goodbye bring replace like,Tue,Jun,02,1
